,customer_id,first_name,last_name,email,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status,Phone,full_name,churn_score,churn_risk
0,EC-2023-000001,Nicole,White,nicole_white@hotmail.com,Digital,Monthly,No,4.59,22,1,Yes,0.89,9.83,Europe,Politics,0.89,0,Mobile,Auto,Retention Offer,0.05,-19,0.29,2023-11-12 05:54:16.425367,2024-11-11 05:54:16.425367,5,58,Female,Mobile App,Credit Card,No,Cancelled,+44-7442729794,Nicole White,0.846183486539432,Churned
1,EC-2023-000002,Justin,Carter,justin_carter@icloud.com,Digital+Print,Monthly,No,3.93,12,1,No,0.2,4.1,Asia,Politics,0.75,0,Mobile,Auto,Newsletter Promo,0.31,-94,-0.02,2023-07-27 05:54:16.425389,2024-07-26 05:54:16.425389,5,59,Male,Mobile App,PayPal,No,Active,+91-8412448789,Justin Carter,0.4070882895249336,Low
2,EC-2023-000003,Stephanie,Thompson,stephanie_thompson@icloud.com,Digital,Annual,Yes,4.03,22,0,No,0.61,13.79,Europe,Politics,0.58,3,Desktop,Auto,No Data,0.06,-24,-0.18,2023-11-27 05:54:16.425394,2024-11-26 05:54:16.425394,3,47,Female,Mobile App,PayPal,Yes,Active,+44-7294010347,Stephanie Thompson,0.0187455036548609,Low
3,EC-2023-000004,James,White,james_white@hotmail.com,Digital,Annual,No,0.95,17,0,No,0.09,10.22,Europe,Technology,0.31,0,Mobile,Auto,No Data,0.35,21,0.36,2023-03-07 05:54:16.425399,2024-03-06 05:54:16.425399,2,22,Other,Mobile App,PayPal,No,Cancelled,+44-7279147872,James White,0.724561648209657,Churned
4,EC-2024-000005,Catherine,Hall,catherine_hall@yahoo.com,Digital,Annual,No,4.82,27,0,No,0.39,11.69,Asia,Culture,0.71,1,Tablet,Auto,No Data,0.26,-32,0.46,2024-01-13 05:54:16.425403,2025-01-12 05:54:16.425403,2,27,Female,Mobile App,PayPal,No,Active,+91-9679649705,Catherine Hall,0.1653392228064286,Low
5,EC-2024-000006,Brenda,White,brenda_white@mail.com,Digital,Monthly,Yes,3.39,10,0,No,0.71,8.14,Europe,Politics,0.31,2,Mobile,Auto,Newsletter Promo,0.31,-11,-0.85,2024-05-14 05:54:16.425407,2025-05-14 05:54:16.425407,2,65,Female,Web,Credit Card,No,Active,+44-7014315463,Brenda White,0.031882520398506,Low
6,EC-2025-000007,Barbara,Scott,barbara_scott@mail.com,Digital+Print,Monthly,Yes,2.45,14,0,Yes,0.66,8.53,North America,Culture,0.3,0,Desktop,Manual,Newsletter Promo,0.22,-99,0.53,2025-03-16 05:54:16.425412,2026-03-16 05:54:16.425412,5,48,Female,Web,Credit Card,Yes,Active,+1-469-718-1612,Barbara Scott,0.4056655842870924,Low
7,EC-2023-000008,Jason,Perez,jason_perez@icloud.com,Digital,Annual,Yes,3.22,24,1,Yes,0.62,11.15,Asia,Technology,0.73,1,Desktop,Auto,No Data,0.02,60,-0.16,2023-04-08 05:54:16.425418,2024-04-07 05:54:16.425418,2,28,Male,Web,Credit Card,No,Active,+91-8487103754,Jason Perez,0.1443485547414858,Low
8,EC-2022-000009,Michelle,Taylor,michelle_taylor@icloud.com,Digital,Monthly,No,0.34,25,1,Yes,0.28,5.34,North America,Technology,0.43,1,Mobile,Manual,No Data,0.15,75,0.8,2022-12-03 05:54:16.425423,2023-12-03 05:54:16.425423,3,55,Female,Referral,Credit Card,No,Cancelled,+1-609-684-1759,Michelle Taylor,0.9989573544478946,Churned
9,EC-2025-000010,Jennifer,Hill,jennifer_hill@mail.com,Espresso,Monthly,Yes,3.61,24,3,No,0.38,8.57,Asia,Environment,0.43,1,Desktop,Auto,No Data,0.33,-64,-0.33,2025-02-23 05:54:16.425428,2026-02-23 05:54:16.425428,4,24,Female,Web,Credit Card,Yes,Active,+91-8006496620,Jennifer Hill,0.3304866083992237,Low
10,EC-2024-000011,Nicholas,Moore,nicholas_moore@gmail.com,Digital,Monthly,No,1.46,21,0,Yes,0.1,6.56,Asia,Politics,0.76,2,Desktop,Auto,Newsletter Promo,0.45,-12,-0.5,2024-08-26 05:54:16.425432,2025-08-26 05:54:16.425432,5,29,Male,Web,Debit Card,No,Cancelled,+91-9563954666,Nicholas Moore,0.9566868940405944,Churned
11,EC-2023-000012,Samuel,Gonzalez,samuel_gonzalez@yahoo.com,Digital,Annual,No,0.97,28,1,No,0.72,6.44,Others,Environment,0.34,1,Desktop,Auto,Survey,0.56,26,0.32,2023-09-22 05:54:16.425437,2024-09-21 05:54:16.425437,4,62,Male,Mobile App,Credit Card,No,Cancelled,+43-2089898220,Samuel Gonzalez,0.959816987681588,Churned
